도서관명,시도명,시군구명,도서관유형,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수
학습정보실,충청북도,영동군,학교도서관,9:00,17:00,26,6864,0,3,5,20
난곡동 책사랑 작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,16,6933,0,0,5,14
송도국제어린이도서관,인천광역시,연수구,어린이도서관,10:00,18:00,200,61400,27,8475,5,15
문경시립문희도서관,경상북도,문경시,공공도서관,09:00,21:00,229,61528,22,0,5,7
신태인도서관,전라북도,정읍시,공공도서관,8:00,0:00,100,62536,20,0,5,10
연수어린이도서관,인천광역시,연수구,어린이도서관,10:00,18:00,30,64645,21,8842,5,15
어린이전문도서관,경상남도,진주시,어린이도서관,9:00,18:00,200,66210,24,1244,5,14
다누리도서관,충청북도,단양군,공공,9:00,22:00,87,66693,75,2006,7,14
다누리도서관,충청북도,단양군,공공도서관,09:00,22:00,87,66693,75,2006,7,14
연수청학도서관,인천광역시,연수구,공공도서관,7:00,22:00,400,67086,99,1492,5,15
이현 High Class 웰가 새마을문고,경상남도,진주시,작은도서관,14:00,17:00,64,7209,3,0,0,0
신사동 해오름작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,7275,0,7,5,14
착한마음 도서관,경상남도,진주시,작은도서관,10:00,18:00,10,7300,1,0,0,0
학운동작은도서관,광주광역시,동구,공공도서관,9:00,17:00,20,7532,0,0,5,15
아산선운산작은도서관,전라북도,고창군,작은도서관,10:00,18:00,20,7536,0,0,5,14
지원2동작은도서관,광주광역시,동구,공공도서관,9:00,17:00,34,7588,0,0,5,15
논공읍작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,20,7917,9,0,5,14
대명4동꿈틀작은도서관,대구광역시,남구,작은도서관,9:00,18:00,40,7988,34,0,20,10
꿈나무어린이도서관,서울특별시,구로구,공공도서관,10:00,19:00,86,70933,18,1596,3,14
정관도서관,부산광역시,기장군,공공도서관,7:00,0:00,583,71111,118,613,5,15
경상북도립예천공공도서관,경상북도,예천군,공공도서관,9:00,22:00,460,72009,19,5577,5,14
영동도서관,충청북도,영동군,공공도서관,8:00,22:00,400,72642,140,2242,5,21
연무도서관,충청남도,논산시,공공도서관,07:00,22:00,204,74739,15,1016,5,10
강경도서관,충청남도,논산시,공공도서관,07:00,22:00,235,77025,11,1302,5,10
한밭도서관,대전광역시,중구,공공도서관,6:00,23:00,656,772695,501,108467,5,14
영동산업과학고등학교 도서관,충청북도,영동군,학교도서관,8:30,17:30,58,8123,0,14,3,14
새마을문고정촌지회(정촌글샘),경상남도,진주시,작은도서관,9:30,17:30,8,8150,2,0,3,14
평거동 새마을작은도서관,경상남도,진주시,작은도서관,9:00,17:00,20,8200,0,0,3,14
초전1차 푸르지오 문고,경상남도,진주시,작은도서관,13:00,16:00,25,8214,0,0,1,7
청룡동 숯고을작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,8281,0,31,5,14
령도서관,충청북도,영동군,학교도서관,8:20,16:30,30,8283,4,0,3,14
천전 한보 새마을작은도서관,경상남도,진주시,작은도서관,15:00,17:00,16,8350,0,0,0,0
신림청소년독서실,서울특별시,관악구,구립작은도서관,10:00,18:00,74,8420,0,0,5,14
청도작은도서관,경상북도,청도군,작은도서관,9:00,18:00,37,8810,0,0,8810,14
난향동 뜰안에작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,22,8838,0,133,5,14
성현동 파랑새작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,50,8864,0,116,5,14
동구도서관,부산광역시,동구,공공도서관,09:00,23:00,440,88073,27,2786,5,14
울주옹기종기도서관,울산광역시,울주군,공공도서관,9:00,22:00,352,88219,55,5503,3,14
가오도서관,대전광역시,동구,공공도서관,8:00,22:00,300,88410,16,3250,5,14
가양도서관,대전광역시,동구,공공도서관,8:00,22:00,263,89769,21,3024,5,14
초강초등학교 도서관,충청북도,영동군,학교도서관,9:00,17:00,28,9027,0,0,3,7
가창면참꽃작은도서관,대구광역시,달성군,작은도서관,09:00,21:00,46,9186,9,454,5,14
하난곡작은도서관,서울특별시,관악구,구립작은도서관,9:00,18:00,40,9232,17,651,5,14
신암2동작은도서관,대구광역시,동구,작은도서관,09:00,18:00,40,9459,9,0,5,15
영신중학교 도서관,충청북도,영동군,학교도서관,9:00,17:00,50,9486,0,0,2,10
마하어린이도서관,경상남도,진주시,작은도서관,9:00,18:00,100,9548,15,0,2,14
책이랑놀이랑,서울특별시,관악구,구립작은도서관,9:00,18:00,9,9558,13,417,5,14
고수해마루작은도서관,전라북도,고창군,작은도서관,10:00,18:00,13,9782,3,0,5,14
동구청 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,11,9795,0,0,5,15
푸르미 작은도서관,경상남도,진주시,작은도서관,10:00,17:00,106,9820,2,0,0,0
신암5동작은도서관,대구광역시,동구,작은도서관,09:00,18:00,20,9924,0,0,5,15
용화초등학교,충청북도,영동군,학교도서관,9:00,17:00,28,9925,0,91,2,3
의령도서관,경상남도,의령군,공공도서관,9:00,18:00,267,90055,18,4337,90055,14
기적의도서관,충청북도,충청북도 제천시,어린이도서관,9:00,18:00,180,91096,1,515,3035,10,7
동해시립북삼도서관,강원도,동해시,공공도서관,8:00,23:00,358,91215,9,10336,3,14
문경시립중앙도서관,경상북도,문경시,공공도서관,09:00,22:00,657,92709,55,0,5,7
진영한빛도서관,경상남도,김해시,공공도서관,09:00,23:00,262,95462,110,4845,5,14
샘터 작은 도서관,부산광역시,남구,작은도서관,13:00,17:00,40,1000,0,0,2200,7
작은나무숲,부산광역시,남구,작은도서관,14:00,19:00,20,1000,30,0,4000,7
로뎀나무아래 작은도서관,부산광역시,남구,작은도서관,14:00,17:00,18,1050,0,0,1200,0
브니엘 학습관 문고,부산광역시,남구,작은도서관,13:00,22:00,8,1092,21,0,3000,0
참사랑 도서관,부산광역시,남구,작은도서관,11:00,16:00,16,1170,0,0,2000,0
토마토 작은도서관,부산광역시,남구,작은도서관,13:00,19:00,6,1200,0,0,1700,7
수학공방강장 작은도서관,부산광역시,남구,작은도서관,10:00,16:00,10,1200,20,15,1200,0
꿈샘 작은도서관,부산광역시,남구,작은도서관,12:00,20:00,20,1337,200,0,3500,5
행복한문고,부산광역시,남구,작은도서관,13:00,18:00,16,1339,50,0,4000,0
대천 작은도서실,부산광역시,남구,작은도서관,9:00,19:00,20,1350,0,0,1350,5
작은 여울 도서관,부산광역시,남구,작은도서관,10:00,17:00,30,1432,30,0,1500,7
감만독서문화원,부산광역시,남구,작은도서관,13:00,17:00,10,1500,0,20,1500,3
산성교회문고,부산광역시,남구,작은도서관,9:00,17:00,64,1621,0,0,3400,7
꿈 자람터 작은 도서관,부산광역시,남구,작은도서관,10:00,17:00,40,1800,0,0,1800,7
좋은씨앗 작은도서관,부산광역시,사상구,작은도서관,10:00,16:00,12,1000,0,0,2,14
문창비젼문고,대전광역시,중구,작은도서관,15:00,19:00,20,1000,0,0,0,15
사랑의 문고,대전광역시,중구,작은도서관,10:00,17:00,15,1000,0,0,3,15
하하호호 어린이도서관,대전광역시,중구,작은도서관,14:00,19:00,70,1000,0,0,3,15
복된문고,대전광역시,중구,작은도서관,10:00,19:00,15,1000,3,0,3,15
고전작은도서관,경상남도,하동군,작은도서관,10:00,18:00,50,1000,0,0,3,7
코스모스작은도서관,경상남도,하동군,작은도서관,10:00,18:00,50,1000,0,0,3,7
마고정작은도서관,서울특별시,은평구,작은도서관,13:00,18:00,6,1000,0,0,0,0
새봄작은도서관,경기도,군포시,작은도서관,15:00,17:00,18,1000,0,0,2,7
공덕작은도서관,부산광역시,금정구,작은도서관,10:00,19:00,6,1000,0,0,2,14
늘푸른도서관,대전광역시,중구,작은도서관,9:00,18:00,21,10000,0,0,3,15
은평의마을,서울특별시,은평구,작은도서관,09:30,11:00,24,10000,0,0,0,0
은평문화의집 작은도서관(응암1동 주민센터),서울특별시,은평구,작은도서관,09:00,18:00,50,10000,0,0,0,0
우리동네작은도서관,경기도,시흥시,작은도서관,9:00,18:00,40,10028,9,252,6,14
행신어린이도서관,경기도,고양시,어린이도서관,9:00,18:00,0,100303,28,825,7,14
상관기찻길작은도서관,전라북도,완주군,작은도서관,09:00,18:00,30,10032,10,0,3,14
사과나무작은도서관,충청북도,충주시,작은도서관,9:00,18:00,10,10062,4,0,10062,14
범천2동작은도서관,부산광역시,부산진구,작은도서관,09:00,18:00,10,10074,0,0,3,7
완주군립삼례도서관,전라북도,완주군,공공도서관,08:00,22:00,106,100892,32,2750,5,20
은평어린이영어도서관(평생학습관 1층),서울특별시,은평구,작은도서관,09:00,18:00,50,10114,0,0,0,0
제물포도서관,인천광역시,남구,작은도서관,10:00,18:00,12,10133,6,0,5,15
대현도서관,대구광역시,북구,공공도서관,9:00,20:00,182,10156,53,0,3,15
대림2동공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,16,10170,0,0,3,14
인창동작은도서관,경기도,구리시,작은도서관,9:00,18:00,32,10173,14,393,5,14
책보따리작은도서관,경상남도,하동군,작은도서관,10:00,18:00,30,10200,0,0,3,7
수성구립범어도서관,대구광역시,수성구,공공도서관,09:00,22:00,698,102117,172,102117,5,15
용학도서관,대구광역시,수성구,공공도서관,09:00,22:00,409,102353,532,3362,5,15
모라1동 작은도서관,부산광역시,사상구,작은도서관,09:00,18:00,40,10254,0,0,3,14
서신도서관,전라북도,전주시,공공도서관,9:00,19:00,442,102643,24,0,4,14
진건도서관,경기도,남양주시,공공도서관,8:00,24:00,522,102673,129,3165,5,14
문래동공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,50,10286,0,0,3,14
동백도서관,경기도,용인시,공공도서관,7:00,0:00,481,102929,106,2794,7,21
청운문학도서관,서울특별시,종로구,공공도서관,10:00,19:00,60,10356,6,0,3,10
화명도서관,부산광역시,북구,공공도서관,07:00,23:00,579,104399,89,2975,5,14
화정글샘도서관,경상남도,김해시,공공도서관,09:00,23:00,545,104460,119,8481,5,14
전주작은도서관,전라북도,전주시,작은도서관,9:00,18:00,20,10472,0,0,2,7
희망마을작은도서관,대전광역시,유성구,작은도서관,10:00,17:00,20,10476,0,0,2,7
감나무골작은도서관,경기도,시흥시,작은도서관,9:00,18:00,40,10485,8,264,6,14
신사2동 책사랑방(신사2동 주민센터),서울특별시,은평구,작은도서관,09:00,18:00,12,1050,0,0,0,0
태안도서관,경기도,화성시,공공도서관,9:00,22:00,176,105389,67,4173,5,14
무지개작은도서관,전라북도,전주시,작은도서관,10:00,18:00,25,10587,0,0,2,14
대야어린이도서관,경기도,시흥시,공공도서관,9:00,18:00,390,105903,15,4929,6,14
밤골작은도서관,부산광역시,연제구,작은도서관,10:00,20:00,33,10706,6,11,2,7
진관동 책사랑방(진관동 주민센터),서울특별시,은평구,작은도서관,09:00,18:00,12,1075,0,0,0,0
은평역사한옥박물관 작은도서관,서울특별시,은평구,작은도서관,09:00,18:00,12,1075,0,0,0,0
책뜰에도서관,서울특별시,은평구,작은도서관,10:00,18:00,12,1076,0,0,0,0
이서배꽃뜰작은도서관,전라북도,완주군,작은도서관,09:00,18:00,30,10763,10,0,3,14
도담동도서관,세종특별자치시,도담동,공공도서관,9:00,21:00,150,10828,37,129,3,14일
정보화도서관,서울특별시,동대문구,공공도서관,9:00,22:00,214,108307,163,7495,4,14
별내도서관,경기도,남양주시,공공도서관,8:00,24:00,329,108900,129,4264,5,14
숲속 향기 작은도서관,서울특별시,은평구,작은도서관,09:00,17:00,12,1090,0,0,0,0
홍산공공도서관,충청남도,부여군,공공도서관,9:00,18:00,201,10944,0,37,3,14
큰꿈도서관,서울특별시,은평구,작은도서관,09:00,17:00,10,1097,0,0,0,0
래미안 푸른숲 도서관,서울특별시,은평구,작은도서관,14:00,17:00,28,1097,0,0,0,0
은평뉴타운 구파발 9단지  제1관리소 도서관,서울특별시,은평구,작은도서관,09:00,18:00,18,1097,0,0,0,0
삼천도서관,전라북도,전주시,공공도서관,9:00,19:00,370,109785,20,1565,4,14
학미숲작은도서관,경기도,시흥시,작은도서관,15:00,22:00,36,10989,5,3,6,14
엄궁 쌈지 작은도서관,부산광역시,사상구,작은도서관,09:00,18:00,16,10997,0,0,3,14
팔복작은도서관,전라북도,전주시,작은도서관,12:00,20:00,74,10999,0,0,2,7
화가마을 작은도서관,부산광역시,사상구,작은도서관,11:00,16:00,8,1100,0,0,0,0
청춘 책방 '책 한그릇',대전광역시,중구,작은도서관,14:00,19:00,15,1100,4,0,0,15
두드림 도서관,서울특별시,은평구,작은도서관,14:00,18:00,14,1100,0,0,0,0
은평작은도서관(은평구청 구의회 1층),서울특별시,은평구,작은도서관,09:00,18:00,10,11000,0,0,0,0
호성작은도서관,전라북도,전주시,작은도서관,10:00,18:00,30,11033,0,0,3,7
대야도서관,경기도,군포시,공공도서관,7:00,12:00,255,110432,121,4081,7,14
사상도서관,부산광역시,사상구,공공도서관,09:00,22:00,95,110927,55,10539,5,14
구성도서관,경기도,용인시,공공도서관,7:00,0:00,493,111075,104,3185,7,21
가수원도서관,대전광역시,서구,공공도서관,07:00,22:00,780,111264,19,3314,10,14
기흥도서관,경기도,용인시,공공도서관,7:00,0:00,517,111497,105,2255,7,21
병점도서관,경기도,화성시,공공도서관,9:00,22:00,456,112079,157,3329,5,14
작은도서관 삼봉서랑,서울특별시,종로구,작은도서관,9:00,19:00,50,11224,5,0,3,10
솔빛도서관,서울특별시,은평구,작은도서관,13:00,17:00,12,1125,0,0,0,0
통인 어린이 작은도서관,서울특별시,종로구,작은도서관,10:00,19:00,50,11304,0,0,3,10
통인 어린이 작은도서관,서울특별시,종로구,작은도서관,10:00,17:00,50,11304,0,0,3,10
익산모현도서관,전라북도,익산시,공공도서관,7:00,23:00,1087,114274,159,17835,5,21
휘경어린이도서관,서울특별시,동대문구,어린이도서관,9:00,18:00,86,11454,17,579,4,14
어린이도서관,경기도,군포시,공공도서관,9:00,18:00,148,114867,49,3759,7,14
모롱지작은도서관,전라북도,전주시,작은도서관,9:00,18:00,60,11527,0,0,2,14
대림3동공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,19,11538,0,0,3,14
인후비젼작은도서관,전라북도,전주시,작은도서관,10:00,18:00,32,11558,0,0,4,14
죽전도서관,경기도,용인시,공공도서관,7:00,0:00,471,116236,110,2307,7,21
초록우산작은도서관,전라북도,전주시,작은도서관,9:00,18:00,24,11628,0,0,3,7
여담작은도서관,경기도,군포시,작은도서관,9:00,18:00,16,1168,0,0,2,10
꿈꾸는마을도서관 도토리,대구광역시,북구,공공도서관,10:00,19:00,75,11709,5,333,7,7
한우리도서관,인천광역시,남구,작은도서관,10:00,18:00,24,11746,8,0,5,15
온천마을작은도서관,대전광역시,유성구,작은도서관,10:00,17:00,20,11767,0,0,2,7
아람누리도서관,경기도,고양시,공공도서관,9:00,22:00,0,117678,255,2149,7,14
동탄복합문화센터도서관,경기도,화성시,공공도서관,9:00,22:00,930,117749,90,2775,5,14
노송작은도서관,전라북도,전주시,작은도서관,9:00,18:00,40,11859,0,0,2,14
원당도서관,경기도,고양시,공공도서관,7:00,23:00,270,119007,102,3589,7,14
이야기동동 작은도서관,부산광역시,금정구,작은도서관,13:00,17:00,20,11902,1,0,2,14
엄정꿈터도서관,충청북도,충주시,공공도서관,9:00,18:00,137,11909,4,60,11909,14
꿈꾸는 작은도서관,부산광역시,사상구,작은도서관,10:00,16:00,12,1200,0,0,0,0
함께 작은도서관,부산광역시,사상구,작은도서관,10:00,17:00,12,1200,0,0,0,0
유천어린이도서관,대전광역시,중구,작은도서관,10:00,20:00,30,1200,6,0,3,15
어린이책 읽새 골목길 작은도서관,대전광역시,중구,작은도서관,11:00,19:00,20,1200,4,0,3,15
청학작은도서관,경상남도,하동군,작은도서관,10:00,18:00,20,1200,0,0,3,7
우물골 마슬 문고,서울특별시,은평구,작은도서관,13:00,17:00,20,1200,0,0,0,0
북구디지털도서관,부산광역시,북구,공공도서관,07:00,23:00,96,120244,85,9385,5,14
복사꽃도서관,인천광역시,남구,작은도서관,10:00,18:00,25,12181,3,0,5,15
신길5동공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,14,12185,0,0,3,14
수택1동작은도서관,경기도,구리시,작은도서관,9:00,18:00,16,12192,10,448,5,14
샘내작은도서관,경기도,화성시,작은도서관,9:00,18:00,26,12203,6,0,5,14
당동도서관,경기도,군포시,공공도서관,7:00,12:00,311,122278,98,4602,7,14
상림글방,서울특별시,은평구,작은도서관,10:00,18:00,30,1226,0,0,0,0
내가도서관,인천광역시,강화군,공공도서관,9:00,22:00,60,12278,7,0,5,14
주엽어린이도서관,경기도,고양시,어린이도서관,9:00,18:00,0,123135,38,1326,7,14
토평도서관,경기도,구리시,공공도서관,8:00,0:00,499,12314,121,5117,5,14
포곡도서관,경기도,용인시,공공도서관,7:00,22:00,358,123404,102,2644,7,21
대림1동공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,24,12351,0,0,3,14
꿈드림 작은도서관,부산광역시,금정구,작은도서관,12:00,18:00,25,12353,0,0,3,14
힐스누리작은도서관,충청북도,충주시,작은도서관,9:00,18:00,10,12354,4,0,12354,14
화도도서관,경기도,남양주시,공공도서관,8:00,24:00,328,123551,133,2691,5,14
한솔동 도서관,세종특별자치시,한솔동,공공도서관,9:00,21:00,85,12363,13,150,3,14일
밥상머리북카페,경기도,군포시,작은도서관,9:00,18:00,88,12399,0,0,7,14
꾸러기 도서관,대전광역시,중구,작은도서관,11:00,20:00,10,1250,0,0,3,15
신길2동(분소)공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,8,12558,0,0,3,14
송강마을작은도서관,대전광역시,유성구,작은도서관,10:00,17:00,20,12713,0,0,2,7
조촌작은도서관,전라북도,군산시,작은도서관,9:00,18:00,25,12716,8,0,3,14
한마음문고,대전광역시,중구,작은도서관,10:00,18:00,22,1288,1,0,3,15
대화도서관,경기도,고양시,공공도서관,7:00,23:00,190,129649,150,1974,7,14
배산작은도서관,부산광역시,연제구,작은도서관,10:00,20:00,35,12993,0,0,2,7
LG메트로작은쌈지,부산광역시,남구,작은도서관,10:00,17:00,38,13220,30,150,18000,7
보목꿈터,제주특별자치도,서귀포시,작은도서관,13:00,18:00,28,13560,0,0,3,14
함께하는 작은도서관,부산광역시,사상구,작은도서관,10:00,16:00,12,1300,0,0,2,24
사랑방 작은도서관,서울특별시,은평구,작은도서관,09:00,18:00,15,1300,0,0,0,0
괴정3동 작은도서관,부산광역시,사하구,작은도서관,9:00,21:00,6,13000,0,0,3,7
여의동공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,20,13069,0,0,3,14
장사래도서관,인천광역시,남구,어린이도서관,10:00,18:00,50,13121,5,0,5,15
영등포구지부공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,46,13164,0,0,3,14
주례쌈지작은도서관,부산광역시,사상구,작은도서관,09:00,18:00,30,13188,0,0,3,14
익산영등도서관,전라북도,익산시,공공도서관,7:00,23:00,838,131907,322,5131,5,21
직산읍작은도서관,충청남도,천안시,작은도서관,10:00,17:00,20,13195,7,590,5,14
원성동작은도서관,충청남도,천안시,작은도서관,10:00,17:00,24,13211,4,12,5,14
신길6동공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,30,13243,0,0,3,14
영등포동공립작은도서관,서울특별시,영등포구,작은도서관,10:00,17:00,30,13282,0,0,3,14
산본역도서관,경기도,군포시,작은도서관,9:00,18:00,16,1333,0,0,7,14
한뫼도서관,경기도,고양시,공공도서관,7:00,23:00,129,133412,167,1655,7,14
사상 작은도서관,부산광역시,사상구,작은도서관,09:00,21:00,25,13400,0,0,3,14
독정골도서관,인천광역시,남구,어린이도서관,10:00,18:00,38,13497,6,0,5,15
가야1동가얏골미니도서관,부산광역시,부산진구,작은도서관,09:00,18:00,8,1353,0,0,2,7
숭의도서관,인천광역시,남구,어린이도서관,10:00,18:00,50,13620,2,0,5,15
재궁꿈나무도서관,경기도,군포시,작은도서관,9:00,18:00,30,13648,0,0,5,14
교문2동작은도서관,경기도,구리시,작은도서관,9:00,18:00,12,13696,10,519,5,14
하늘정원작은도서관,경기도,군포시,작은도서관,11:00,21:00,40,1374,0,0,2,7
고맙습니다 보물섬 작은도서관,부산광역시,사상구,작은도서관,09:00,18:00,81,13761,0,0,3,14
나포작은도서관,전라북도,군산시,작은도서관,9:00,18:00,58,13796,11,0,3,14
나운작은도서관,전라북도,군산시,작은도서관,9:00,18:00,50,13859,8,0,3,14
이랑도서관,인천광역시,남구,작은도서관,10:00,18:00,65,13908,7,0,5,15
다문화도서관 바오밥나무,서울특별시,은평구,작은도서관,10:00,18:00,18,1397,0,0,0,0
포도송이 작은도서관,부산광역시,사상구,작은도서관,10:00,16:00,10,1400,0,0,2,14
한울타리 작은도서관,부산광역시,사상구,작은도서관,10:00,16:00,10,1400,0,0,0,0
짝꿍어린이도서관,대전광역시,중구,작은도서관,11:00,17:00,32,1400,2,0,3,15
깊은산속 옹달샘,대전광역시,중구,작은도서관,12:00,18:00,40,1400,0,0,3,15
아름꿈 도서관,서울특별시,종로구,공공도서관,11:00,20:00,60,14009,6,667,3,10
유성도서관,대전광역시,유성구,공공도서관,8:00,22:00,565,141160,89,9187,3,14
응암도서관,서울특별시,은평구,작은도서관,14:00,17:30,30,14157,0,0,0,0
쌍용도서관,충청남도,천안시,공공도서관,08:00,22:00,694,142118,101,3585,5,14
꿈나무작은도서관,경기도,시흥시,작은도서관,9:00,18:00,44,14324,17,212,6,14
신성마을작은도서관,대전광역시,유성구,작은도서관,10:00,17:00,20,14424,0,0,2,7
대방어린이도서관,서울특별시,동작구,공공도서관,9:00,18:00,50,14432,14,150,5,14
남양도서관,경기도,화성시,공공도서관,9:00,22:00,190,144324,70,3907,5,14
열린 작은도서관,부산광역시,사상구,작은도서관,10:00,18:00,6,1450,0,0,0,0
샘터작은도서관,서울특별시,은평구,작은도서관,11:00,17:00,12,1455,0,0,0,0
쑥골도서관,인천광역시,남구,어린이도서관,10:00,18:00,50,14626,3,0,5,15
거제2동새마을문고작은도서관,부산광역시,연제구,작은도서관,10:00,20:00,21,14716,0,73,2,7
석바위도서관,인천광역시,남구,작은도서관,10:00,18:00,35,14820,8,0,5,15
새마음 작은도서관,대전광역시,중구,작은도서관,10:00,18:00,28,1483,0,0,0,15
한라도서관,제주특별자치도,제주시,공공도서관,8:00,22:00,332,148838,318,7409,5,15
백석도서관,경기도,고양시,공공도서관,7:00,23:00,234,148909,156,3631,7,14
부개어린이도서관,인천광역시,부평구,공공도서관,9:00,18:00,70,15275,33,0,5,14
문화작은도서관,대전광역시,중구,작은도서관,10:00,17:00,61,1500,3,0,3,15
푸른솔문고,대전광역시,중구,작은도서관,10:00,18:00,18,1500,30,0,3,15
남대전푸른문고,대전광역시,중구,작은도서관,13:30,16:30,30,1500,1,0,3,15
올리브나무 도서관,서울특별시,은평구,작은도서관,10:00,18:00,15,1500,0,0,0,0
